event,outcome,lookahead_sel,n,wins,rate,n_sel,h1_n,h1_w,h1,h2_n,h2_w,h2,claim,desc
non_yizi_2,zt_3d,False,1526,562,0.3683,1526,739,291,0.3938,787,271,0.3443,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
non_yizi_2,hold_then_zt3,False,1526,562,0.3683,1526,739,291,0.3938,787,271,0.3443,False,"non-yizi t AND zt_3d (entry at t, membership win)"
non_yizi_2,cons_not_lose,False,1526,476,0.3119,1526,739,250,0.3383,787,226,0.2872,False,zt_next OR (zha and change_rate>0); absent=loss
non_yizi_2,print_not_lose,False,513,476,0.9279,1526,267,250,0.9363,246,226,0.9187,True,among zt-or-zha prints only: not lose vs t close
non_yizi_2,hold_close,False,1521,803,0.5279,1526,737,376,0.5102,784,427,0.5446,False,"buy t close, t+1 close > t close (needs bar)"
non_yizi_2,hold_not_lose,False,1521,819,0.5385,1526,737,380,0.5156,784,439,0.5599,False,"buy t close, t+1 close >= t close"
non_yizi_2,hold_touch3,False,1523,698,0.4583,1526,737,346,0.4695,786,352,0.4478,False,"buy t close, any of t+1..t+3 high touches limit"
non_yizi_2,open_follow,False,1470,696,0.4735,1526,704,317,0.4503,766,379,0.4948,False,"buy t+1 open if not yizi-open, t+1 close > open"
non_yizi_2,open_follow_flat,False,1470,753,0.5122,1526,704,350,0.4972,766,403,0.5261,False,"buy t+1 open if not yizi-open, close >= open"
non_yizi_2,open_then_zt3,False,1470,511,0.3476,1526,704,258,0.3665,766,253,0.3303,False,"buy t+1 open if not yizi-open, then zt within 3d"
non_yizi_2,touch3,False,1470,649,0.4415,1526,704,314,0.4460,766,335,0.4373,False,"buy t+1 open if not yizi-open, 3d high touches limit"
non_yizi_2,tradable_zt,False,1526,1526,1.0000,1526,739,739,1.0000,787,787,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
non_yizi_2,hold_3d,False,1502,704,0.4687,1526,733,317,0.4325,769,387,0.5033,False,"buy t close, t+3 close > t close"
non_yizi_2,open_3d,False,1451,663,0.4569,1526,701,292,0.4165,750,371,0.4947,False,"buy t+1 open if not yizi-open, t+3 close > open"
non_yizi_2,maxclose3,False,1523,1002,0.6579,1526,737,470,0.6377,786,532,0.6768,False,"buy t close, max(t+1..t+3 close) > t close"
non_yizi_3,zt_3d,False,385,187,0.4857,385,208,101,0.4856,177,86,0.4859,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
non_yizi_3,hold_then_zt3,False,385,187,0.4857,385,208,101,0.4856,177,86,0.4859,False,"non-yizi t AND zt_3d (entry at t, membership win)"
non_yizi_3,cons_not_lose,False,385,169,0.4390,385,208,94,0.4519,177,75,0.4237,False,zt_next OR (zha and change_rate>0); absent=loss
non_yizi_3,print_not_lose,False,195,169,0.8667,385,112,94,0.8393,83,75,0.9036,False,among zt-or-zha prints only: not lose vs t close
non_yizi_3,hold_close,False,385,215,0.5584,385,208,112,0.5385,177,103,0.5819,False,"buy t close, t+1 close > t close (needs bar)"
non_yizi_3,hold_not_lose,False,385,216,0.5610,385,208,112,0.5385,177,104,0.5876,False,"buy t close, t+1 close >= t close"
non_yizi_3,hold_touch3,False,385,229,0.5948,385,208,121,0.5817,177,108,0.6102,False,"buy t close, any of t+1..t+3 high touches limit"
non_yizi_3,open_follow,False,372,173,0.4651,385,198,95,0.4798,174,78,0.4483,False,"buy t+1 open if not yizi-open, t+1 close > open"
non_yizi_3,open_follow_flat,False,372,202,0.5430,385,198,112,0.5657,174,90,0.5172,False,"buy t+1 open if not yizi-open, close >= open"
non_yizi_3,open_then_zt3,False,372,174,0.4677,385,198,91,0.4596,174,83,0.4770,False,"buy t+1 open if not yizi-open, then zt within 3d"
non_yizi_3,touch3,False,372,218,0.5860,385,198,113,0.5707,174,105,0.6034,False,"buy t+1 open if not yizi-open, 3d high touches limit"
non_yizi_3,tradable_zt,False,385,385,1.0000,385,208,208,1.0000,177,177,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
non_yizi_3,hold_3d,False,379,189,0.4987,385,207,96,0.4638,172,93,0.5407,False,"buy t close, t+3 close > t close"
non_yizi_3,open_3d,False,366,162,0.4426,385,197,81,0.4112,169,81,0.4793,False,"buy t+1 open if not yizi-open, t+3 close > open"
non_yizi_3,maxclose3,False,385,261,0.6779,385,208,132,0.6346,177,129,0.7288,False,"buy t close, max(t+1..t+3 close) > t close"
non_yizi_4,zt_3d,False,179,90,0.5028,179,105,54,0.5143,74,36,0.4865,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
non_yizi_4,hold_then_zt3,False,179,90,0.5028,179,105,54,0.5143,74,36,0.4865,False,"non-yizi t AND zt_3d (entry at t, membership win)"
non_yizi_4,cons_not_lose,False,179,78,0.4358,179,105,48,0.4571,74,30,0.4054,False,zt_next OR (zha and change_rate>0); absent=loss
non_yizi_4,print_not_lose,False,88,78,0.8864,179,54,48,0.8889,34,30,0.8824,False,among zt-or-zha prints only: not lose vs t close
non_yizi_4,hold_close,False,179,106,0.5922,179,105,58,0.5524,74,48,0.6486,False,"buy t close, t+1 close > t close (needs bar)"
non_yizi_4,hold_not_lose,False,179,107,0.5978,179,105,58,0.5524,74,49,0.6622,False,"buy t close, t+1 close >= t close"
non_yizi_4,hold_touch3,False,179,111,0.6201,179,105,68,0.6476,74,43,0.5811,False,"buy t close, any of t+1..t+3 high touches limit"
non_yizi_4,open_follow,False,173,81,0.4682,179,102,47,0.4608,71,34,0.4789,False,"buy t+1 open if not yizi-open, t+1 close > open"
non_yizi_4,open_follow_flat,False,173,99,0.5723,179,102,56,0.5490,71,43,0.6056,False,"buy t+1 open if not yizi-open, close >= open"
non_yizi_4,open_then_zt3,False,173,84,0.4855,179,102,51,0.5000,71,33,0.4648,False,"buy t+1 open if not yizi-open, then zt within 3d"
non_yizi_4,touch3,False,173,105,0.6069,179,102,65,0.6373,71,40,0.5634,False,"buy t+1 open if not yizi-open, 3d high touches limit"
non_yizi_4,tradable_zt,False,179,179,1.0000,179,105,105,1.0000,74,74,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
non_yizi_4,hold_3d,False,176,80,0.4545,179,103,43,0.4175,73,37,0.5068,False,"buy t close, t+3 close > t close"
non_yizi_4,open_3d,False,170,72,0.4235,179,100,41,0.4100,70,31,0.4429,False,"buy t+1 open if not yizi-open, t+3 close > open"
non_yizi_4,maxclose3,False,179,125,0.6983,179,105,71,0.6762,74,54,0.7297,False,"buy t close, max(t+1..t+3 close) > t close"
non_yizi_5p,zt_3d,False,135,76,0.5630,135,87,48,0.5517,48,28,0.5833,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
non_yizi_5p,hold_then_zt3,False,135,76,0.5630,135,87,48,0.5517,48,28,0.5833,False,"non-yizi t AND zt_3d (entry at t, membership win)"
non_yizi_5p,cons_not_lose,False,135,66,0.4889,135,87,41,0.4713,48,25,0.5208,False,zt_next OR (zha and change_rate>0); absent=loss
non_yizi_5p,print_not_lose,False,72,66,0.9167,135,44,41,0.9318,28,25,0.8929,False,among zt-or-zha prints only: not lose vs t close
non_yizi_5p,hold_close,False,133,76,0.5714,135,85,46,0.5412,48,30,0.6250,False,"buy t close, t+1 close > t close (needs bar)"
non_yizi_5p,hold_not_lose,False,133,78,0.5865,135,85,47,0.5529,48,31,0.6458,False,"buy t close, t+1 close >= t close"
non_yizi_5p,hold_touch3,False,133,84,0.6316,135,85,50,0.5882,48,34,0.7083,False,"buy t close, any of t+1..t+3 high touches limit"
non_yizi_5p,open_follow,False,127,58,0.4567,135,80,33,0.4125,47,25,0.5319,False,"buy t+1 open if not yizi-open, t+1 close > open"
non_yizi_5p,open_follow_flat,False,127,77,0.6063,135,80,47,0.5875,47,30,0.6383,False,"buy t+1 open if not yizi-open, close >= open"
non_yizi_5p,open_then_zt3,False,127,70,0.5512,135,80,43,0.5375,47,27,0.5745,False,"buy t+1 open if not yizi-open, then zt within 3d"
non_yizi_5p,touch3,False,127,79,0.6220,135,80,46,0.5750,47,33,0.7021,False,"buy t+1 open if not yizi-open, 3d high touches limit"
non_yizi_5p,tradable_zt,False,135,135,1.0000,135,87,87,1.0000,48,48,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
non_yizi_5p,hold_3d,False,128,71,0.5547,135,83,44,0.5301,45,27,0.6000,False,"buy t close, t+3 close > t close"
non_yizi_5p,open_3d,False,123,57,0.4634,135,79,37,0.4684,44,20,0.4545,False,"buy t+1 open if not yizi-open, t+3 close > open"
non_yizi_5p,maxclose3,False,133,89,0.6692,135,85,53,0.6235,48,36,0.7500,False,"buy t close, max(t+1..t+3 close) > t close"
non_yizi_mid23,zt_3d,False,1911,749,0.3919,1911,947,392,0.4139,964,357,0.3703,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
non_yizi_mid23,hold_then_zt3,False,1911,749,0.3919,1911,947,392,0.4139,964,357,0.3703,False,"non-yizi t AND zt_3d (entry at t, membership win)"
non_yizi_mid23,cons_not_lose,False,1911,645,0.3375,1911,947,344,0.3633,964,301,0.3122,False,zt_next OR (zha and change_rate>0); absent=loss
non_yizi_mid23,print_not_lose,False,708,645,0.9110,1911,379,344,0.9077,329,301,0.9149,True,among zt-or-zha prints only: not lose vs t close
non_yizi_mid23,hold_close,False,1906,1018,0.5341,1911,945,488,0.5164,961,530,0.5515,False,"buy t close, t+1 close > t close (needs bar)"
non_yizi_mid23,hold_not_lose,False,1906,1035,0.5430,1911,945,492,0.5206,961,543,0.5650,False,"buy t close, t+1 close >= t close"
non_yizi_mid23,hold_touch3,False,1908,927,0.4858,1911,945,467,0.4942,963,460,0.4777,False,"buy t close, any of t+1..t+3 high touches limit"
non_yizi_mid23,open_follow,False,1842,869,0.4718,1911,902,412,0.4568,940,457,0.4862,False,"buy t+1 open if not yizi-open, t+1 close > open"
non_yizi_mid23,open_follow_flat,False,1842,955,0.5185,1911,902,462,0.5122,940,493,0.5245,False,"buy t+1 open if not yizi-open, close >= open"
non_yizi_mid23,open_then_zt3,False,1842,685,0.3719,1911,902,349,0.3869,940,336,0.3574,False,"buy t+1 open if not yizi-open, then zt within 3d"
non_yizi_mid23,touch3,False,1842,867,0.4707,1911,902,427,0.4734,940,440,0.4681,False,"buy t+1 open if not yizi-open, 3d high touches limit"
non_yizi_mid23,tradable_zt,False,1911,1911,1.0000,1911,947,947,1.0000,964,964,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
non_yizi_mid23,hold_3d,False,1881,893,0.4747,1911,940,413,0.4394,941,480,0.5101,False,"buy t close, t+3 close > t close"
non_yizi_mid23,open_3d,False,1817,825,0.4540,1911,898,373,0.4154,919,452,0.4918,False,"buy t+1 open if not yizi-open, t+3 close > open"
non_yizi_mid23,maxclose3,False,1908,1263,0.6619,1911,945,602,0.6370,963,661,0.6864,False,"buy t close, max(t+1..t+3 close) > t close"
non_yizi_sub_high,zt_3d,False,347,117,0.3372,347,142,46,0.3239,205,71,0.3463,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
non_yizi_sub_high,hold_then_zt3,False,347,117,0.3372,347,142,46,0.3239,205,71,0.3463,False,"non-yizi t AND zt_3d (entry at t, membership win)"
non_yizi_sub_high,cons_not_lose,False,347,106,0.3055,347,142,39,0.2746,205,67,0.3268,False,zt_next OR (zha and change_rate>0); absent=loss
non_yizi_sub_high,print_not_lose,False,116,106,0.9138,347,46,39,0.8478,70,67,0.9571,False,among zt-or-zha prints only: not lose vs t close
non_yizi_sub_high,hold_close,False,347,159,0.4582,347,142,55,0.3873,205,104,0.5073,False,"buy t close, t+1 close > t close (needs bar)"
non_yizi_sub_high,hold_not_lose,False,347,164,0.4726,347,142,57,0.4014,205,107,0.5220,False,"buy t close, t+1 close >= t close"
non_yizi_sub_high,hold_touch3,False,347,153,0.4409,347,142,55,0.3873,205,98,0.4780,False,"buy t close, any of t+1..t+3 high touches limit"
non_yizi_sub_high,open_follow,False,338,151,0.4467,347,137,50,0.3650,201,101,0.5025,False,"buy t+1 open if not yizi-open, t+1 close > open"
non_yizi_sub_high,open_follow_flat,False,338,165,0.4882,347,137,55,0.4015,201,110,0.5473,False,"buy t+1 open if not yizi-open, close >= open"
non_yizi_sub_high,open_then_zt3,False,338,108,0.3195,347,137,41,0.2993,201,67,0.3333,False,"buy t+1 open if not yizi-open, then zt within 3d"
non_yizi_sub_high,touch3,False,338,145,0.4290,347,137,51,0.3723,201,94,0.4677,False,"buy t+1 open if not yizi-open, 3d high touches limit"
non_yizi_sub_high,tradable_zt,False,347,347,1.0000,347,142,142,1.0000,205,205,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
non_yizi_sub_high,hold_3d,False,346,147,0.4249,347,141,46,0.3262,205,101,0.4927,False,"buy t close, t+3 close > t close"
non_yizi_sub_high,open_3d,False,337,145,0.4303,347,136,48,0.3529,201,97,0.4826,False,"buy t+1 open if not yizi-open, t+3 close > open"
non_yizi_sub_high,maxclose3,False,347,216,0.6225,347,142,75,0.5282,205,141,0.6878,False,"buy t close, max(t+1..t+3 close) > t close"
non_yizi_new_high,zt_3d,False,225,114,0.5067,225,89,41,0.4607,136,73,0.5368,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
non_yizi_new_high,hold_then_zt3,False,225,114,0.5067,225,89,41,0.4607,136,73,0.5368,False,"non-yizi t AND zt_3d (entry at t, membership win)"
non_yizi_new_high,cons_not_lose,False,225,99,0.4400,225,89,36,0.4045,136,63,0.4632,False,zt_next OR (zha and change_rate>0); absent=loss
non_yizi_new_high,print_not_lose,False,112,99,0.8839,225,40,36,0.9000,72,63,0.8750,False,among zt-or-zha prints only: not lose vs t close
non_yizi_new_high,hold_close,False,223,129,0.5785,225,87,43,0.4943,136,86,0.6324,False,"buy t close, t+1 close > t close (needs bar)"
non_yizi_new_high,hold_not_lose,False,223,132,0.5919,225,87,45,0.5172,136,87,0.6397,False,"buy t close, t+1 close >= t close"
non_yizi_new_high,hold_touch3,False,223,136,0.6099,225,87,50,0.5747,136,86,0.6324,False,"buy t close, any of t+1..t+3 high touches limit"
non_yizi_new_high,open_follow,False,214,103,0.4813,225,84,39,0.4643,130,64,0.4923,False,"buy t+1 open if not yizi-open, t+1 close > open"
non_yizi_new_high,open_follow_flat,False,214,124,0.5794,225,84,48,0.5714,130,76,0.5846,False,"buy t+1 open if not yizi-open, close >= open"
non_yizi_new_high,open_then_zt3,False,214,105,0.4907,225,84,38,0.4524,130,67,0.5154,False,"buy t+1 open if not yizi-open, then zt within 3d"
non_yizi_new_high,touch3,False,214,127,0.5935,225,84,47,0.5595,130,80,0.6154,False,"buy t+1 open if not yizi-open, 3d high touches limit"
non_yizi_new_high,tradable_zt,False,225,225,1.0000,225,89,89,1.0000,136,136,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
non_yizi_new_high,hold_3d,False,219,110,0.5023,225,86,41,0.4767,133,69,0.5188,False,"buy t close, t+3 close > t close"
non_yizi_new_high,open_3d,False,210,99,0.4714,225,83,42,0.5060,127,57,0.4488,False,"buy t+1 open if not yizi-open, t+3 close > open"
non_yizi_new_high,maxclose3,False,223,154,0.6906,225,87,55,0.6322,136,99,0.7279,False,"buy t close, max(t+1..t+3 close) > t close"
break_all_non_yizi,zt_3d,False,906,367,0.4051,906,450,186,0.4133,456,181,0.3969,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
break_all_non_yizi,hold_then_zt3,False,906,367,0.4051,906,450,186,0.4133,456,181,0.3969,False,"non-yizi t AND zt_3d (entry at t, membership win)"
break_all_non_yizi,cons_not_lose,False,906,304,0.3355,906,450,152,0.3378,456,152,0.3333,False,zt_next OR (zha and change_rate>0); absent=loss
break_all_non_yizi,print_not_lose,False,335,304,0.9075,906,169,152,0.8994,166,152,0.9157,False,among zt-or-zha prints only: not lose vs t close
break_all_non_yizi,hold_close,False,905,462,0.5105,906,449,213,0.4744,456,249,0.5461,False,"buy t close, t+1 close > t close (needs bar)"
break_all_non_yizi,hold_not_lose,False,905,470,0.5193,906,449,216,0.4811,456,254,0.5570,False,"buy t close, t+1 close >= t close"
break_all_non_yizi,hold_touch3,False,905,450,0.4972,906,449,220,0.4900,456,230,0.5044,False,"buy t close, any of t+1..t+3 high touches limit"
break_all_non_yizi,open_follow,False,871,402,0.4615,906,431,176,0.4084,440,226,0.5136,False,"buy t+1 open if not yizi-open, t+1 close > open"
break_all_non_yizi,open_follow_flat,False,871,453,0.5201,906,431,207,0.4803,440,246,0.5591,False,"buy t+1 open if not yizi-open, close >= open"
break_all_non_yizi,open_then_zt3,False,871,333,0.3823,906,431,168,0.3898,440,165,0.3750,False,"buy t+1 open if not yizi-open, then zt within 3d"
break_all_non_yizi,touch3,False,871,418,0.4799,906,431,203,0.4710,440,215,0.4886,False,"buy t+1 open if not yizi-open, 3d high touches limit"
break_all_non_yizi,tradable_zt,False,906,906,1.0000,906,450,450,1.0000,456,456,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
break_all_non_yizi,hold_3d,False,899,417,0.4638,906,445,186,0.4180,454,231,0.5088,False,"buy t close, t+3 close > t close"
break_all_non_yizi,open_3d,False,866,397,0.4584,906,428,178,0.4159,438,219,0.5000,False,"buy t+1 open if not yizi-open, t+3 close > open"
break_all_non_yizi,maxclose3,False,905,588,0.6497,906,449,275,0.6125,456,313,0.6864,False,"buy t close, max(t+1..t+3 close) > t close"
break_same_theme_non_yizi,zt_3d,False,86,32,0.3721,86,33,14,0.4242,53,18,0.3396,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
break_same_theme_non_yizi,hold_then_zt3,False,86,32,0.3721,86,33,14,0.4242,53,18,0.3396,False,"non-yizi t AND zt_3d (entry at t, membership win)"
break_same_theme_non_yizi,cons_not_lose,False,86,25,0.2907,86,33,10,0.3030,53,15,0.2830,False,zt_next OR (zha and change_rate>0); absent=loss
break_same_theme_non_yizi,print_not_lose,False,27,25,0.9259,86,10,10,1.0000,17,15,0.8824,False,among zt-or-zha prints only: not lose vs t close
break_same_theme_non_yizi,hold_close,False,86,39,0.4535,86,33,15,0.4545,53,24,0.4528,False,"buy t close, t+1 close > t close (needs bar)"
break_same_theme_non_yizi,hold_not_lose,False,86,39,0.4535,86,33,15,0.4545,53,24,0.4528,False,"buy t close, t+1 close >= t close"
break_same_theme_non_yizi,hold_touch3,False,86,36,0.4186,86,33,16,0.4848,53,20,0.3774,False,"buy t close, any of t+1..t+3 high touches limit"
break_same_theme_non_yizi,open_follow,False,83,38,0.4578,86,33,14,0.4242,50,24,0.4800,False,"buy t+1 open if not yizi-open, t+1 close > open"
break_same_theme_non_yizi,open_follow_flat,False,83,45,0.5422,86,33,18,0.5455,50,27,0.5400,False,"buy t+1 open if not yizi-open, close >= open"
break_same_theme_non_yizi,open_then_zt3,False,83,29,0.3494,86,33,14,0.4242,50,15,0.3000,False,"buy t+1 open if not yizi-open, then zt within 3d"
break_same_theme_non_yizi,touch3,False,83,33,0.3976,86,33,16,0.4848,50,17,0.3400,False,"buy t+1 open if not yizi-open, 3d high touches limit"
break_same_theme_non_yizi,tradable_zt,False,86,86,1.0000,86,33,33,1.0000,53,53,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
break_same_theme_non_yizi,hold_3d,False,86,38,0.4419,86,33,15,0.4545,53,23,0.4340,False,"buy t close, t+3 close > t close"
break_same_theme_non_yizi,open_3d,False,83,37,0.4458,86,33,15,0.4545,50,22,0.4400,False,"buy t+1 open if not yizi-open, t+3 close > open"
break_same_theme_non_yizi,maxclose3,False,86,51,0.5930,86,33,21,0.6364,53,30,0.5660,False,"buy t close, max(t+1..t+3 close) > t close"
break_same_theme_mid23,zt_3d,False,79,29,0.3671,79,27,11,0.4074,52,18,0.3462,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
break_same_theme_mid23,hold_then_zt3,False,79,29,0.3671,79,27,11,0.4074,52,18,0.3462,False,"non-yizi t AND zt_3d (entry at t, membership win)"
break_same_theme_mid23,cons_not_lose,False,79,23,0.2911,79,27,8,0.2963,52,15,0.2885,False,zt_next OR (zha and change_rate>0); absent=loss
break_same_theme_mid23,print_not_lose,False,25,23,0.9200,79,8,8,1.0000,17,15,0.8824,False,among zt-or-zha prints only: not lose vs t close
break_same_theme_mid23,hold_close,False,79,36,0.4557,79,27,12,0.4444,52,24,0.4615,False,"buy t close, t+1 close > t close (needs bar)"
break_same_theme_mid23,hold_not_lose,False,79,36,0.4557,79,27,12,0.4444,52,24,0.4615,False,"buy t close, t+1 close >= t close"
break_same_theme_mid23,hold_touch3,False,79,32,0.4051,79,27,12,0.4444,52,20,0.3846,False,"buy t close, any of t+1..t+3 high touches limit"
break_same_theme_mid23,open_follow,False,76,35,0.4605,79,27,11,0.4074,49,24,0.4898,False,"buy t+1 open if not yizi-open, t+1 close > open"
break_same_theme_mid23,open_follow_flat,False,76,40,0.5263,79,27,13,0.4815,49,27,0.5510,False,"buy t+1 open if not yizi-open, close >= open"
break_same_theme_mid23,open_then_zt3,False,76,26,0.3421,79,27,11,0.4074,49,15,0.3061,False,"buy t+1 open if not yizi-open, then zt within 3d"
break_same_theme_mid23,touch3,False,76,29,0.3816,79,27,12,0.4444,49,17,0.3469,False,"buy t+1 open if not yizi-open, 3d high touches limit"
break_same_theme_mid23,tradable_zt,False,79,79,1.0000,79,27,27,1.0000,52,52,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
break_same_theme_mid23,hold_3d,False,79,36,0.4557,79,27,13,0.4815,52,23,0.4423,False,"buy t close, t+3 close > t close"
break_same_theme_mid23,open_3d,False,76,34,0.4474,79,27,12,0.4444,49,22,0.4490,False,"buy t+1 open if not yizi-open, t+3 close > open"
break_same_theme_mid23,maxclose3,False,79,48,0.6076,79,27,18,0.6667,52,30,0.5769,False,"buy t close, max(t+1..t+3 close) > t close"
break_same_theme_2,zt_3d,False,66,22,0.3333,66,24,9,0.3750,42,13,0.3095,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
break_same_theme_2,hold_then_zt3,False,66,22,0.3333,66,24,9,0.3750,42,13,0.3095,False,"non-yizi t AND zt_3d (entry at t, membership win)"
break_same_theme_2,cons_not_lose,False,66,17,0.2576,66,24,7,0.2917,42,10,0.2381,False,zt_next OR (zha and change_rate>0); absent=loss
break_same_theme_2,print_not_lose,False,18,17,0.9444,66,7,7,1.0000,11,10,0.9091,False,among zt-or-zha prints only: not lose vs t close
break_same_theme_2,hold_close,False,66,30,0.4545,66,24,11,0.4583,42,19,0.4524,False,"buy t close, t+1 close > t close (needs bar)"
break_same_theme_2,hold_not_lose,False,66,30,0.4545,66,24,11,0.4583,42,19,0.4524,False,"buy t close, t+1 close >= t close"
break_same_theme_2,hold_touch3,False,66,24,0.3636,66,24,10,0.4167,42,14,0.3333,False,"buy t close, any of t+1..t+3 high touches limit"
break_same_theme_2,open_follow,False,64,30,0.4688,66,24,10,0.4167,40,20,0.5000,False,"buy t+1 open if not yizi-open, t+1 close > open"
break_same_theme_2,open_follow_flat,False,64,34,0.5312,66,24,12,0.5000,40,22,0.5500,False,"buy t+1 open if not yizi-open, close >= open"
break_same_theme_2,open_then_zt3,False,64,20,0.3125,66,24,9,0.3750,40,11,0.2750,False,"buy t+1 open if not yizi-open, then zt within 3d"
break_same_theme_2,touch3,False,64,22,0.3438,66,24,10,0.4167,40,12,0.3000,False,"buy t+1 open if not yizi-open, 3d high touches limit"
break_same_theme_2,tradable_zt,False,66,66,1.0000,66,24,24,1.0000,42,42,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
break_same_theme_2,hold_3d,False,66,29,0.4394,66,24,11,0.4583,42,18,0.4286,False,"buy t close, t+3 close > t close"
break_same_theme_2,open_3d,False,64,28,0.4375,66,24,10,0.4167,40,18,0.4500,False,"buy t+1 open if not yizi-open, t+3 close > open"
break_same_theme_2,maxclose3,False,66,41,0.6212,66,24,16,0.6667,42,25,0.5952,False,"buy t close, max(t+1..t+3 close) > t close"
break_same_theme_3,zt_3d,False,13,7,0.5385,13,3,2,0.6667,10,5,0.5000,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
break_same_theme_3,hold_then_zt3,False,13,7,0.5385,13,3,2,0.6667,10,5,0.5000,False,"non-yizi t AND zt_3d (entry at t, membership win)"
break_same_theme_3,cons_not_lose,False,13,6,0.4615,13,3,1,0.3333,10,5,0.5000,False,zt_next OR (zha and change_rate>0); absent=loss
break_same_theme_3,print_not_lose,False,7,6,0.8571,13,1,1,1.0000,6,5,0.8333,False,among zt-or-zha prints only: not lose vs t close
break_same_theme_3,hold_close,False,13,6,0.4615,13,3,1,0.3333,10,5,0.5000,False,"buy t close, t+1 close > t close (needs bar)"
break_same_theme_3,hold_not_lose,False,13,6,0.4615,13,3,1,0.3333,10,5,0.5000,False,"buy t close, t+1 close >= t close"
break_same_theme_3,hold_touch3,False,13,8,0.6154,13,3,2,0.6667,10,6,0.6000,False,"buy t close, any of t+1..t+3 high touches limit"
break_same_theme_3,open_follow,False,12,5,0.4167,13,3,1,0.3333,9,4,0.4444,False,"buy t+1 open if not yizi-open, t+1 close > open"
break_same_theme_3,open_follow_flat,False,12,6,0.5000,13,3,1,0.3333,9,5,0.5556,False,"buy t+1 open if not yizi-open, close >= open"
